match_id,season,section,home,away,home_score,away_score,venue,date,home_form,home_attack,home_defence,home_rest_days,home_changed_continent,away_form,away_attack,away_defence,away_rest_days,away_changed_continent,elo_home,elo_away,elo_diff,form_diff,rest_diff,cross_continent,altitude,playoff,margin,home_win
71,2021-22,Round 12,Munster,Edinburgh,34,20,Thomond Park,2022-02-18,2.0,16.2,14.2,7.0,0,6.2,22.8,16.6,7.0,0,5.460827108519999,3.12902592974,2.3318011787799993,-4.2,0.0,0,0,0,14,1
72,2021-22,Round 12,Scarlets,Connacht,23,29,Parc y Scarlets,2022-02-19,-13.6,19.8,33.4,22.0,0,-8.0,21.4,29.4,15.0,0,-3.1707797986,-1.49537387728,-1.6754059213199999,-5.6,7.0,0,0,0,-6,0
73,2021-22,Round 12,Leinster,Ospreys,29,7,RDS Arena,2022-02-19,10.2,28.2,18.0,8.0,0,-8.0,19.6,27.6,21.0,0,8.07175957086,-1.7115438986000004,9.78330346946,18.2,-13.0,0,0,0,22,1
74,2021-22,Round 12,Glasgow,Benetton,13,3,Scotstoun Stadium,2022-02-19,12.2,28.8,16.6,8.0,0,1.2,21.8,20.6,22.0,0,4.327271469479999,-0.3907591760000001,4.71803064548,11.0,-14.0,0,0,0,10,1
75,2021-22,Round 12,Dragons,Ulster,0,12,Rodney Parade,2022-02-20,-10.2,16.0,26.2,23.0,0,6.2,21.0,14.8,16.0,0,-4.189246664000001,5.00573190928,-9.19497857328,-16.4,7.0,0,0,0,-12,0
76,2021-22,Round 10,Leinster,Lions,21,13,RDS Arena,2022-02-25,11.4,27.8,16.4,6.0,0,-9.2,21.4,30.6,13.0,1,8.693429223913999,-5.17723928,13.870668503913999,20.6,-7.0,1,0,0,8,1
77,2021-22,Round 10,Zebre,Bulls,7,45,Stadio Sergio Lanfranchi,2022-02-25,-21.2,10.8,32.0,27.0,0,1.4,23.8,22.4,13.0,1,-12.5508712574,-1.2662031199999997,-11.2846681374,-22.599999999999998,14.0,1,0,0,-38,0
78,2021-22,Round 10,Connacht,Stormers,19,17,Galway Sportsgrounds,2022-02-26,-12.4,18.0,30.4,7.0,0,3.6,24.6,21.0,14.0,1,-0.462914469412,3.89165288,-4.354567349412,-16.0,-7.0,1,0,0,2,1
79,2021-22,Round 10,Benetton,Sharks,7,29,Stadio Comunale di Monigo,2022-02-26,0.4,16.8,16.4,7.0,0,4.2,27.6,23.4,14.0,1,-0.3189561114520002,2.26318952,-2.582145631452,-3.8000000000000003,-7.0,1,0,0,-22,0
80,2021-22,Round 13,Edinburgh,Connacht,56,8,Edinburgh Rugby Stadium,2022-03-04,0.2,20.8,20.6,14.0,0,-6.4,18.0,24.4,6.0,0,2.562206047618,-0.4274577344707999,2.9896637820887997,6.6000000000000005,8.0,0,0,0,48,1
81,2021-22,Round 13,Ulster,Cardiff,48,12,Ravenhill Stadium,2022-03-04,6.6,19.4,12.8,12.0,0,-4.8,22.4,27.2,30.0,0,5.886234051952,-2.1974413160000004,8.083675367952,11.399999999999999,-18.0,0,0,0,36,1
82,2021-22,Round 13,Munster,Dragons,64,3,Thomond Park,2022-03-05,6.4,21.0,14.6,15.0,0,-9.8,14.0,23.8,13.0,0,6.027646990641999,-5.069748806672001,11.097395797314,16.200000000000003,2.0,0,0,0,61,1
83,2021-22,Round 13,Benetton,Leinster,17,61,Stadio Comunale di Monigo,2022-03-05,-4.2,14.4,18.6,7.0,0,15.0,30.0,15.0,8.0,0,-2.8607415483068004,7.506362373522599,-10.367103921829399,-19.2,-1.0,0,0,0,-44,0
84,2021-22,Round 13,Scarlets,Glasgow,35,10,Parc y Scarlets,2022-03-05,-8.8,21.8,30.6,14.0,0,14.4,27.8,13.4,14.0,0,-4.203239206468,4.255468404932,-8.458707611400001,-23.200000000000003,0.0,0,0,0,25,1
85,2021-22,Round 13,Ospreys,Zebre,27,22,Liberty Stadium,2022-03-06,-6.8,17.4,24.2,15.0,0,-21.6,10.8,32.4,9.0,0,-2.3332135516540005,-15.02240444366,12.689190892006,14.8,6.0,0,0,0,5,1
86,2021-22,Round 6,Sharks,Scarlets,37,20,Kings Park Stadium,2022-03-11,5.8,27.4,21.6,13.0,1,3.2,25.8,22.6,6.0,1,4.8049749568548,-1.4573684453279996,6.2623434021828,2.5999999999999996,7.0,1,0,0,17,1
87,2021-22,Round 9,Ulster,Leinster,18,13,Ravenhill Stadium,2022-03-12,15.0,26.4,11.4,8.0,0,18.2,32.8,14.6,7.0,0,7.4778665151568,10.06965198133966,-2.591785466182861,-3.1999999999999993,1.0,0,0,0,5,1
88,2021-22,Round 6,Bulls,Munster,29,24,Loftus Versfeld Stadium,2022-03-12,11.8,29.6,17.8,15.0,1,19.0,32.2,13.2,7.0,1,1.2053300662600008,7.3179074109106,-6.112577344650599,-7.199999999999999,8.0,1,1,0,5,1
89,2021-22,Round 6,Lions,Cardiff,37,20,Ellis Park Stadium,2022-03-13,-14.4,16.6,31.0,16.0,1,-10.0,21.0,31.0,9.0,1,-3.990172429608601,-3.7890737792048,-0.20109865040380104,-4.4,7.0,1,1,0,17,1
90,2021-22,Round 6,Stormers,Zebre,55,7,Danie Craven Stadium,2022-03-13,6.8,24.2,17.4,15.0,1,-20.4,14.0,34.4,7.0,1,3.8561961450588,-13.6534853544594,17.5096814995182,27.2,8.0,1,0,0,48,1
